Data,NE,NW,SE,SW
42991,2.85308642,4.228323699,0.54047619,2.36640625
42992,2.896666667,3.246875,4.368181818,4.087428571
42993,1.128125,1.626153846,1.507017544,1.534126984
42994,2.503571429,2.65,3.105555556,4.342857143
42995,23.53085106,13.85731707,23.21588785,20.70902256
42996,14.2,9.324324324,1.013636364,1.881944444
42997,0.93255814,0.36,5.761,7.987096774
42998,2.910606061,1.013043478,12.7509434,8.125409836
42999,6.290322581,2.685470085,20.32222222,15.612
43000,1.28030303,2.196946565,10.08888889,4.959310345
43001,0.6125,3.689880952,4.765740741,13.99502762
43002,2.192307692,1.608955224,6.295604396,5.668387097
43003,0.893103448,1.165486726,0.997674419,1.352212389
43004,0.05,0.645,0.12,0.472131148
43005,0.033333333,0.242857143,0.066666667,0.10625
43006,0.033333333,0,0.066666667,0.04
43007,0.05,0,0.1,0.188888889
43008,0.08,0,0,0
43009,0.02,0.1,0.15,0
43010,6.13655914,8.435106383,3.598765432,5.609944751
43011,4.987234043,1.726241135,11.50825688,9.659195402
43012,4.263829787,7.205,1.685416667,1.012264151
43013,10.19574468,20.36105263,8.785454545,8.455737705
43014,1.651948052,3.548876404,4.306542056,7.347540984
43015,3.319354839,7.912765957,1.222857143,3.995027624
43016,3.731914894,1.926027397,2.757798165,3.737016575
43017,5.772527473,3.603508772,1.47755102,1.067647059
43018,6.554736842,3.925555556,2.058823529,2.611931818
43019,3.722105263,2.774576271,1.602247191,0.812612613
43020,2.688421053,2.586619718,0.974193548,0.42238806
43021,2.246753247,0.523913043,0.86,0.385714286
43022,3.563218391,1.78902439,0.877777778,1.4
43023,1.071212121,0.420689655,0.455555556,0.077777778
43024,0.1125,0.221052632,0.1,0.04
43025,0.04,0.088888889,0.15,0
43026,0.05,0.090909091,0.066666667,0.071428571
43027,0.188888889,0.18125,0.146666667,0.210526316
43028,1.97,1.716312057,0.411111111,0.569230769
43029,3.475,3.883088235,1.391025641,7.174545455
43030,3.177659574,5.950555556,9.331818182,7.766666667
43031,1.401162791,1.361983471,11.70776699,6.884962406
43032,1.546666667,8.588826816,0.636734694,2.319512195
43033,7.249473684,6.214044944,2.407476636,2.346590909
43034,5.042696629,4.072108844,2.117777778,3.396202532
43035,5.354255319,5.117837838,9.77,8.910989011
43036,13.48947368,14.78412698,9.708181818,12.32967033
43037,10.46210526,4.323655914,15.21909091,10.0679558
43038,5.717045455,1.223529412,1.563461538,1.034437086
43039,1.792857143,1.26728972,0.604597701,1.370588235
43040,5.127368421,8.206914894,1.618478261,1.983950617
43041,4.786170213,3.825139665,9.872477064,6.345303867
43042,1.021428571,0.537735849,1.214285714,0.738235294
43043,0.514285714,0.133333333,0.085714286,0.05
43044,0.183333333,1.81779661,2.58,2.069014085
43045,0.34,0.814285714,0.310526316,3.119130435
43046,0.215789474,0.453061224,0.331578947,0.468421053
43047,0.161111111,0.211111111,0.416666667,0.263461538
43048,0.666129032,1.029411765,1.054545455,0.56728972
43049,6.343157895,4.623655914,3.102941176,2.813218391
43050,2.425423729,4.059310345,4.066037736,2.773142857
43051,0.944,2.27,4.344230769,6.325698324
43052,2.589655172,1.359285714,5.564761905,2.444642857
43053,0.7015625,0.814685315,0.133333333,0.234848485
43054,0.42195122,0.716428571,0.142857143,0.338888889
43055,0.726086957,1.39379845,0.836111111,1.425471698
43056,0.676470588,0.663063063,3.882524272,1.235714286
43057,2.130487805,3.931638418,1.157954545,1.373484848
43058,3.506451613,5.914438503,3.909174312,4.620994475
43059,2.58372093,1.558870968,2.313084112,3.197206704
43060,0.327659574,3.14751773,2.03908046,3.508045977
43061,1.645454545,3.718333333,2.334313725,1.61056338
43062,0.234615385,0.265789474,0.1,0.052173913
43063,0.798507463,1.154615385,0.483870968,1.050632911
43064,2.660465116,11.85449735,3.594117647,2.683139535
43065,0.425,0.601111111,5.621428571,0.548888889
43066,0.403846154,2.21375,0.409803922,0.760377358
